the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.62533077011555 41.84133116704404),400124,YCCS CHTR - MCKINLEY,"2920 S Wabash Ave, 60616",HS,"10, 11, 12",Charter,-87.6253307702,41.8413311677
POINT (-87.72713735989637 41.93818660243103),400125,YCCS CHTR - ASPIRA PANTOJA,"3121 N Pulaski Rd, 60641",HS,"10, 11, 12",Charter,-87.7271373598,41.9381866036
POINT (-87.70685988382161 41.9015724066718),400126,YCCS CHTR - ASSOCIATION HOUSE,"1116 N Kedzie Ave, 60651",HS,"10, 11, 12",Charter,-87.7068598834,41.9015724074
POINT (-87.76022117562405 41.89497639068477),400127,YCCS CHTR - AUSTIN CAREER,"5352 W Chicago Ave, 60651",HS,"10, 11, 12",Charter,-87.7602211754,41.8949763912
POINT (-87.72366217143608 41.86494335189345),400128,YCCS CHTR - CCA ACADEMY,"1231 S Pulaski Rd, 60623",HS,"10, 11, 12",Charter,-87.7236621719,41.864943353
POINT (-87.61647729813454 41.80933109038372),400129,YCCS CHTR - HOUSTON,"4701 S King Dr, 60615",HS,"10, 11, 12",Charter,-87.6164772986,41.8093310913
POINT (-87.64173118629225 41.751377111833904),400130,YCCS CHTR - YOUTH DEVELOPMENT,"7836 S Union Ave, 60620",HS,"10, 11, 12",Charter,-87.6417311869,41.7513771124
POINT (-87.69600602220713 41.90284969724916),400131,YCCS CHTR - CAMPOS,"2739 W Division St, 60622",HS,"10, 11, 12",Charter,-87.6960060227,41.9028496977
POINT (-87.62773414585837 41.88304717157979),400133,YCCS CHTR - INNOVATIONS,"17 N. State St., 60602",HS,"10, 11, 12",Charter,-87.6277341453,41.8830471721
POINT (-87.6448879754817 41.85720785596084),400134,YCCS CHTR - ADDAMS,"1814 S Union Ave, 60616",HS,"10, 11",Charter,-87.6448879756,41.8572078569
POINT (-87.69543001380885 41.85466465548888),400135,YCCS CHTR - LATINO YOUTH,"2001 S California Ave, 60608",HS,"10, 11, 12",Charter,-87.6954300137,41.8546646562
POINT (-87.592333202492 41.71292209989564),400136,YCCS CHTR - OLIVE HARVEY,"10001 S Woodlawn Ave, 60628",HS,"10, 11",Charter,-87.592333202,41.7129221008
POINT (-87.59933993996285 41.809695495557065),400137,LITTLE BLACK PEARL ACADEMY HS,"1060 E 47th St, 60653",HS,"9, 10, 11, 12",Contract,-87.5993399405,41.8096954966
POINT (-87.57849166954297 41.746286569880006),400139,YCCS CHTR - SULLIVAN,"8164 S South Chicago Ave, 60617",HS,"10, 11, 12",Charter,-87.5784916699,41.7462865703
POINT (-87.65923928943083 41.965294816271395),400141,YCCS CHTR - TRUMAN,"1145 W Wilson Ave, 60640",HS,"10, 11, 12",Charter,-87.6592392899,41.9652948173
POINT (-87.67413840184999 41.87631672731323),400142,YCCS CHTR - VIRTUAL,"1900 W Van Buren St, 60612",HS,"10, 11, 12",Charter,-87.6741384013,41.876316728
POINT (-87.70205280026559 41.89080312095962),400143,YCCS CHTR - WEST TOWN,"500 N Sacramento Blvd, 60612",HS,"10, 11, 12",Charter,-87.7020528007,41.890803122
POINT (-87.75416654390553 41.939796767286225),609708,FOREMAN HS,"3235 N LeClaire Ave, 60641",HS,"9, 10, 11, 12",District,-87.7541665434,41.9397967679
POINT (-87.74881028902938 41.90224003146582),400144,YCCS CHTR - WESTSIDE HOLISTIC,"4909 W Division St, 60651",HS,"10, 11, 12",Charter,-87.7488102893,41.9022400327
POINT (-87.62678146982476 41.83207205772944),400145,YCCS CHTR - COMMUNITY ACADEMY,"3424 S State St, 60616",HS,"10, 11, 12",Charter,-87.6267814695,41.832072059
POINT (-87.74661383938387 41.891816141953214),400146,KIPP CHTR - CREATE,"4818 W Ohio St, 60644",ES,"5, 6, 7",Charter,-87.746613839,41.8918161429
POINT (-87.65424794294071 41.69195333774312),400147,CHICAGO EXCEL CONTR ACAD,"1269 W 111th St, 60643",HS,"9, 10, 11, 12",Contract,-87.6542479426,41.6919533387
POINT (-87.68406493865558 41.84544601504087),400148,INSTITUTO CHTR - JUSTICE  AND LEADERSHIP,"2570 S Blue Island Ave, 60608",HS,"10, 11, 12",Charter,-87.6840649381,41.8454460161
POINT (-87.71102498480566 41.801762245391835),400149,UNO CHTR - SOCCER HS,"5025 S Saint Louis Ave, 60632",HS,"6, 7, 8, 9, 10",Charter,-87.7110249843,41.8017622463
POINT (-87.60697990879785 41.73013138418161),400150,YCCS CHTR - CHATHAM,"9035 S Langley Ave, 60619",HS,"10, 11, 12",Charter,-87.6069799089,41.7301313853
POINT (-87.70139735045758 41.88741028436125),400151,LEARN CHTR 7,"3021 W Carroll Ave, 60612Â",ES,"K, 1, 2, 3, 4",Charter,-87.7013973499,41.8874102851
POINT (-87.69323838455642 41.81310944439286),400153,UNO CHTR 15 - BRIGHTON PARK,"4420 S Fairfield Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6932383845,41.8131094456
POINT (-87.60257331721643 41.706666858314506),400156,NOBLE CHTR - BUTLER,"821 E 103rd St, 60628",HS,"9, 10",Charter,-87.6025733174,41.7066668587
POINT (-87.55620144124543 41.73462237120126),400157,NOBLE CHTR - BAKER COLLEGE PREP,"2710 E 89th St, 60617",HS,"9, 10",Charter,-87.5562014413,41.7346223717
POINT (-87.75752152784457 41.9221811558643),400159,CHRISTOPHER HOUSE CHTR,"5235 W Belden Ave, 60639",ES,"K, 1, 2",Charter,-87.7575215283,41.9221811568
POINT (-87.61796787063743 41.679318442476),400161,CHICAGO CHTR COLLEGIATE,"11816 S Indiana Ave, 60628",HS,"4, 5, 6",Charter,-87.6179678712,41.6793184428
